gov_town_code,city,state,latitude,longitude
1356419572,Bichkunda,Andhra Pradesh,18.400000,77.716700
1356624036,Bikkavolu,Andhra Pradesh,16.962400,82.049000
1356034364,Biknur,Andhra Pradesh,18.215000,78.436700
1356125367,Billapadu,Andhra Pradesh,16.636400,80.966100
1356278004,Bimgal,Andhra Pradesh,18.700000,78.466700
1356820046,Bobbili,Andhra Pradesh,18.566700,83.366700
1356670589,Bodagudipadu,Andhra Pradesh,14.766900,79.979700
1356000066,Boddikurapadu,Andhra Pradesh,15.659100,79.750900
1356506985,Bodhan,Andhra Pradesh,18.670000,77.900000
1356074103,Bodupal,Andhra Pradesh,17.413900,78.578300
1356564798,Bomareddipalli,Andhra Pradesh,18.704400,79.156800
1356406639,Bommagondanahalli,Andhra Pradesh,13.898400,77.073300
1356484226,Bondada,Andhra Pradesh,16.529500,81.454900
1356917535,Borgampad,Andhra Pradesh,17.650000,80.866700
1356128302,Brahmanandapuram,Andhra Pradesh,16.958300,82.005600
1356799521,Buchireddipalem,Andhra Pradesh,14.538000,79.875000
1356445403,Buddayyakota,Andhra Pradesh,13.659300,78.263200
1356792053,Budili,Andhra Pradesh,13.935300,77.735500
1356687033,Bugganipalle,Andhra Pradesh,15.474100,78.175000
1356673632,Bukkapatnam,Andhra Pradesh,14.199700,77.801200
1356973726,Bukkarayasamudram,Andhra Pradesh,14.694400,77.638100
1356470319,Buttayagudem,Andhra Pradesh,17.208900,81.301400
1356051593,Chada,Andhra Pradesh,17.499200,79.075600
1356030918,Chagalamarri,Andhra Pradesh,14.966700,78.583300
1356269485,Chagallu,Andhra Pradesh,16.983300,81.666700
1356549672,Chakicherla,Andhra Pradesh,15.112700,80.036600
1356541236,Challapalle,Andhra Pradesh,16.117500,80.931400
1356227278,Chamarru,Andhra Pradesh,16.650000,80.133300
1356092797,Chandragiri,Andhra Pradesh,13.583300,79.316700
1356193821,Chandralapadu,Andhra Pradesh,16.715000,80.208900
1356362084,Chandreru,Andhra Pradesh,16.820000,81.990000
1356371611,Chandur,Andhra Pradesh,16.980000,79.060000
1356115239,Channubanda,Andhra Pradesh,17.033100,80.805600
1356147402,Chapalamadugu,Andhra Pradesh,16.073000,79.377500
1356583629,Charakunda,Andhra Pradesh,16.691600,78.705400
1356795326,Chautapal,Andhra Pradesh,17.250800,78.897200
1356037410,Chebrolu,Andhra Pradesh,16.820600,81.404800
1356982116,Chegur,Andhra Pradesh,17.175800,78.229800
1356510607,Chegurumomadi,Andhra Pradesh,18.236100,79.197400
1356096953,Chennur,Andhra Pradesh,14.566700,78.800000
1356579296,Cherial,Andhra Pradesh,17.926400,78.971900
1356141471,Chicacole,Andhra Pradesh,18.300000,83.900000
1356135021,Chikkala,Andhra Pradesh,16.969800,81.592200
1356065865,Chilakalurupet,Andhra Pradesh,16.089200,80.167200
1356493610,Chilamatturu,Andhra Pradesh,13.839400,77.703900
1356142066,Chilkuru,Andhra Pradesh,16.961100,79.912500
1356017885,Chilpur,Andhra Pradesh,18.238800,79.452900
1356627585,Chimakurti,Andhra Pradesh,15.581900,79.868000
1356424340,Chimalapadu,Andhra Pradesh,16.890200,80.650500
1356908442,Chinna Annaluru,Andhra Pradesh,14.891300,79.676100
1356286805,Chinna Ganjam,Andhra Pradesh,15.693000,80.240500
1356089174,Chinna Gollapalem,Andhra Pradesh,16.370100,81.532200
1356152615,Chinna Mupparam,Andhra Pradesh,17.631900,79.841100
1356329396,Chinna Mushidivada,Andhra Pradesh,17.805700,83.203300
1356523957,Chinna Orampadu,Andhra Pradesh,14.061300,79.267100
1356975526,Chinnachauku,Andhra Pradesh,14.473200,78.845100
1356327094,Chinnamandem,Andhra Pradesh,13.941900,78.681400
1356490281,Chinnayagudem,Andhra Pradesh,17.047000,81.481000
1356452525,Chintakommadinne,Andhra Pradesh,14.426700,78.761800
1356352209,Chintakunta,Andhra Pradesh,14.646600,78.469600
1356061024,Chintalapudi,Andhra Pradesh,17.066700,80.983300
1356351597,Chintapalle,Andhra Pradesh,17.866700,82.350000
1356643864,Chipurupalle,Andhra Pradesh,18.311400,83.568300
1356100300,Chirala,Andhra Pradesh,15.824600,80.352100
1356022916,Chitrada,Andhra Pradesh,17.080200,82.246900
1356026391,Chittoor,Andhra Pradesh,13.216000,79.098000
1356145461,Chitvel,Andhra Pradesh,14.166700,79.333300
1356091931,Chityal,Andhra Pradesh,17.233300,79.133300
1356853746,Chodavaram,Andhra Pradesh,17.833300,82.950000
1356589291,Chopadandi,Andhra Pradesh,18.583300,79.166700
1356152808,Coringa,Andhra Pradesh,16.800000,82.233300
1356360140,Cuddapah,Andhra Pradesh,14.470000,78.820000
1356391649,Cumbum,Andhra Pradesh,15.576700,79.105500
1356157736,Dachepalle,Andhra Pradesh,16.600000,79.733300
1356187711,Damalcheruvu,Andhra Pradesh,13.483300,79.050000
1356000300,Damarcherla,Andhra Pradesh,16.726900,79.636900
1356865520,Damargidda,Andhra Pradesh,16.818900,77.503100
1356795204,Dammapeta,Andhra Pradesh,17.266700,81.016700
1356047567,Dammennu,Andhra Pradesh,17.030800,81.686100
1356113162,Darsi,Andhra Pradesh,15.766700,79.683300
1356628600,Dasnapur,Andhra Pradesh,19.653600,78.511400
1356080715,Davuluru,Andhra Pradesh,16.262500,80.743600
1356619160,Denduluru,Andhra Pradesh,16.760600,81.164200
